name,affiliations,author_id,cited_by,interests
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,140,['Computer Science']
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,212,"['Crowdsourcing', 'Misinformation Assessment', 'Cognitive Biases']"
Kevin Roitero,University of Udine,1xd52jMAAAAJ,694,"['Artificial Intelligence', 'Crowdsourcing and Human Computation', 'Information Retrieval']"
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4744,"['Information retrieval', 'mobile systems', 'scholarly publishing', 'crowdsourcing', 'misinformation and fake news detection']"
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2495,"['Information Retrieval', 'Text Analytics', 'Data Science', 'Evaluation', 'Human-AI Fact-checking']"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5372,"['Information Retrieval', 'Semantic Web', 'Human Computation', 'Crowdsourcing']"
Eddy Maddalena,"Università degli Studi di Udine, Italy",egHDpFkAAAAJ,554,"['Information Retrieval', 'Crowdsourcing', 'Data Science', 'Human Computation', 'Web science']"
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2903,"['medical informatics', 'telemedicine', 'digital pathology', 'biomedical classifications and ontologies']"
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,498,"['Information Quality', 'Trust', 'Semantic Web', 'Probabilistic Logic', 'Provenance']"
Tim Draws,OTTO,UTMHOZMAAAAJ,1222,"['Human-Computer Interaction', 'Web Search', 'Research Methods']"
Joel Mackenzie,The University of Queensland,3jQ1Zh4AAAAJ,652,"['Information Retrieval', 'Web Search', 'Algorithms', 'Information Systems']"
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,147,[]
Giuseppe Serra,"Associate Professor of Computer Science, University of Udine",xz1J-xQAAAAJ,5350,"['Machine Learning', 'Artificial Intelligence', 'Multimedia', 'NLP', 'Multimedia Forensics']"
Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,80,"['Crowdsourcing', 'Human computation', 'Information Retrieval', 'Data Mining']"
Giuseppe Primiero,"Department of Philosophy, University of Milan",srKA534AAAAJ,1134,"['Logic', 'Philosophy of Computer Science']"
Jan Wielemaker,"Researcher in Computer Science, VU University Amsterdam",7J1vJdEAAAAJ,5076,"['Logic programming', 'Semantic web']"
Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,911,"['Human Computation', 'Crowdsourcing', 'Graph Theory', 'Markov Chains', 'Wireless Networks']"
Afshin Rahimi,Applied Scientist @ Amazon,WhPw2I0AAAAJ,1300,['Natural Language Processing']
Andrea Brunello,Università degli Studi di Udine,GuteS00AAAAJ,281,"['Data science', 'machine learning', 'evolutionary computation', 'data modelling', 'databases']"
Tetsuya Sakai,Waseda University,vi56gz4AAAAJ,6623,"['information retrieval', 'natural language processing', 'human computer interaction']"
Maddalena Zippi,"Unita' di Gastroenterologia ed Endoscopia Digestiva, ospedale Sandro Pertini, Roma",j8YC3TAAAAAJ,1748,"['endoscopia digestiva diagnostica e opertiva', 'endoscopia vie biliari', 'malattie infiammatorie croniche intestinali', 'malattie panc']"
Mihai Horia Popescu,PhD student,7VIbKlEAAAAJ,47,"['Machine learning', 'medical informatics', 'Explainable Artificial Intelligence (XAI)']"
Falk Scholer,"School of Computing Technologies, RMIT University",qOLjlqsAAAAJ,4660,"['Information retrieval', 'search', '… transparency and ethics of algorithms AI and …', 'data science', 'dat']"
J. Shane Culpepper,The University of Queensland,OFlBSEEAAAAJ,3170,"['Information Retrieval', 'Search', 'Algorithms', 'Machine Learning']"
Yunke Qu,The University of Queensland,oup2M48AAAAJ,11,"['Recommender Systems', 'Data Mining', 'Information Retrieval']"
Rishabh Mehrotra,"Head of AI, Sourcegraph",X9BKWWoAAAAJ,2277,"['Machine Learning', 'Recommender Systems', 'Large Language Models']"
Mounia Lalmas,Spotify,wAr9G5sAAAAJ,10848,['Personalization.']
Ben Carterette,Spotify,zgHZ-KMAAAAJ,5789,"['search', 'recommender systems', 'ML']"
Mark R. Sanderson,"Visiting Professor, St. George's University of London",hTob0R4AAAAJ,15668,"['Structural Biology', 'topoisomerases', 'nucleic acid interacting proteins']"
Vanessa De Luca,"Research Associate, SUPSI",HZl2KP0AAAAJ,425,['Interaction Design']
Luca Di Gaspero,"Associate Professor of Information Technology, University of Udine",fIES7P0AAAAJ,3665,"['Artificial Intelligence', 'Operations Research', 'Data Analytics', 'Metaheuristics']"
Carlo Tasso,Full Professor in Computer Science,ITxRmxIAAAAJ,3643,"['Artificial Intelligence', 'Web Intelligence', 'Semantic Web']"
Paolo Coppola,"Associate Professor of Computer Science, University of Udine",P15-SKkAAAAJ,535,"['Type theory', 'lambda calculus', 'computational complexity', 'context aware computing', 'mobile computing']"
Omar Alonso,Amazon,VvLUqbkAAAAJ,4303,"['Information Retrieval', 'Crowdsourcing', 'Social search', 'Knowledge graphs']"
Elena Nazzi,"PhD student in Interaction Design, IT University of Copenhagen",krOJM2sAAAAJ,175,"['Interaction Design', 'Social Computing', 'Tangible Computing', 'Internet of Things', 'Embodied Interaction']"
Giorgio Brajnik,"Associate Professor in Computer science, University of Udine, Italy",a-qHaRIAAAAJ,3593,"['User Experience', 'Software Testing', 'Model-based Engineering of User Interfaces']"
Fabio Crestani,"Faculty of Informatics, Universitá della Svizzera Italiana (USI), Lugano, Switzerland",EoGBsiMAAAAJ,10292,"['Information Retrieval', 'Data Science', 'Text Mining', 'Digital Libraries']"
Claudio Carpineto,Fondazione Ugo Bordoni,MnwqYB8AAAAJ,5544,"['information retrieval', 'data mining', 'artificial intelligence', 'formal concept analysis', 'data privacy']"
Marco Pavan,"PhD in Computer Science, University of Udine",-UudVuUAAAAJ,112,"['Data Mining', 'Information Retrieval', 'Artificial intelligence']"
Julio Gonzalo,"Full professor of Computer Science, UNED",opFCmpYAAAAJ,6094,"['Natural Language Processing', 'Information Retrieval', 'Artificial Intelligence']"
Lawrence Cavedon,"School of Computing Technologies, RMIT University",ZAEiiEUAAAAJ,5907,"['Data Science', 'artificial intelligence', 'spoken dialogue', 'biomedical text mining']"
Johanne R. Trippas,"Vice-Chancellor's Research Fellow, School of Computing Technologies, RMIT University",x483lssAAAAJ,984,"['Information Retrieval', 'Conversational Interfaces', 'Spoken Interaction Design', 'Conversational Search', 'Human Computer Interaction']"
Jorge Carrillo-de-Albornoz,"Researcher in Computer Science, UNED",8yHMQqoAAAAJ,1388,"['Sentiment Analysis', 'Opinion Mining', 'Online Reputation Management', 'Negation Detection', 'Natural Language Processing']"
Maarten de Rijke,University of Amsterdam & ICAI,AVDkgFIAAAAJ,36900,['Information retrieval']
Arkaitz Zubiaga,Queen Mary University of London,IUb-xxMAAAAJ,6673,"['Social Media Mining', 'Social Data Science', 'Natural Language Processing', 'Computational Social Science', 'Computational Journalism']"
Hideo Joho,"Professor, Institute of Library, Information and Media Science, University of Tsukuba",8W8gwisAAAAJ,3891,"['Information Retrieval', 'Interactive Information Retrieval', 'Human Information Interaction', 'User']"
Edgar Meij,Bloomberg,vb6YKF0AAAAJ,3143,"['Information Retrieval', 'Semantich Search', 'Machine Learning']"
Flora Salim,"Professor, Cisco Chair of Digital Transport, Computer Science and Engineering, UNSW",Yz35RSYAAAAJ,4005,"['Machine Learning', 'Artificial Intelligence', 'Ubiquitous Computing', 'Time Series', 'Mobility Data Science']"
W. Bruce Croft,"Distinguished Professor Emeritus, University of Massachusetts Amherst",ArV74ZMAAAAJ,64290,['Information Retrieval']
Víctor Fresno,Associate Professor of Computer Science (UNED),X_95ZxEAAAAJ,1558,"['Document Representation', 'Natural Language Processing', 'Machine Learning', 'Compositional Distributional Semantics']"
Raquel Manzano Martinez,Neuroscientist. Lecturer in Genetics. University of Zaragoza.,a1H9MxgAAAAJ,11847,['… Lateral Sclerosis. Spinal and Bulbar Muscular …']
Yongli Ren,"School of Computing Technologies, RMIT University",ZZl7bW8AAAAJ,1284,"['Recommender System', 'Data Mining', 'Fog Computing', 'Data Science', 'Data Analysis']"
Ryen W. White,"General Manager, Deputy Lab Director, Microsoft Research",U69fiZMAAAAJ,20384,"['Information Retrieval', 'Human-Computer Interaction', 'Artificial Intelligence', 'Psychology', 'Health']"
Philippe Cudre-Mauroux,"Full Professor (Computer Science), U. of Fribourg–Switzerland",NpccCXwAAAAJ,9351,"['Big Data', 'Graph Data', 'Infrastructures for AI', 'Emergent Semantics']"
Djellel Difallah,"Assistant Professor, Computer Science, NYU Abu Dhabi",K5d-OHEAAAAJ,3096,"['Crowdsourcing systems', 'Data science', 'Big Data systems']"
Ujwal Gadiraju,"Assistant Professor, Web Information Systems, Delft University of Technology",FX7BF6QAAAAJ,3286,"['Human-centered AI', 'Crowd Computing', 'Human-Computer Interaction', 'Information Retrieval', 'Conversational Interfaces']"
Tereza Iofciu,L3S,wQgkh-4AAAAJ,1217,"['machine learning', 'artificial intelligence', 'data science']"
Michele Catasta,VP of AI at Replit,ZxfOSWMAAAAJ,6189,"['Large Language Models', 'AI4Code', 'Machine Learning', 'Information Retrieval', 'Data Science']"
Wolfgang Nejdl,"Professor of Computer Science, Leibniz Universität Hannover, L3S Research Center …",LC62bdYAAAAJ,25524,"['Information Retrieval', 'Web Science', 'Social Media', 'Data Mining', 'Semantic Technologies']"
Shazia Sadiq,The University of Queensland,1Jo0EmIAAAAJ,10273,"['Data Quality Management', 'Business Process Management', '… Risk and Compliance in Information Systems', 'Service Systems']"
Leihan Tang,"Professor of Physics, Hong Kong Baptist University",kYTmdEMAAAAJ,6669,"['Statistical Physics', 'Biological Physics', 'Computational Physics', 'Systems Biology', 'Quantitative Modeling']"
Peter A Bath,University of Sheffield,-ExSN_IAAAAJ,7140,"['Health Informatics', 'Health Data Science', 'Information behaviours', 'Older people', 'online sharing']"
"Dr. Wasim Ahmed, PhD",Senior Lecturer in Marketing,JduIcrAAAAAJ,2185,"['Marketing', 'Disinformation', 'Social Media', 'Social Network Analysis', 'Analytics']"
