name,affiliations,author_id,cited_by,interests
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,138,['Computer Science']
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,208,"['Computer Science', 'Crowdsourcing']"
Kevin Roitero,University of Udine,1xd52jMAAAAJ,688,"['Artificial Intelligence', 'Crowdsourcing and Human Computation', 'Information Retrieval']"
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4735,"['Information retrieval', 'mobile systems', 'scholarly publishing', 'crowdsourcing', 'misinformation and fake news detection']"
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2481,"['Information Retrieval', 'Text Analytics', 'Data Science', 'Evaluation', 'Human-AI Fact-checking']"
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5342,"['Information Retrieval', 'Semantic Web', 'Human Computation', 'Crowdsourcing']"
Eddy Maddalena,"Università degli Studi di Udine, Italy",egHDpFkAAAAJ,553,"['Information Retrieval', 'Crowdsourcing', 'Data Science', 'Human Computation', 'Web science']"
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2882,"['medical informatics', 'telemedicine', 'digital pathology', 'biomedical classifications and ontologies']"
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,495,"['Information Quality', 'Trust', 'Semantic Web', 'Probabilistic Logic', 'Provenance']"
Tim Draws,OTTO,UTMHOZMAAAAJ,1195,"['Human-Computer Interaction', 'Web Search', 'Research Methods']"
Joel Mackenzie,The University of Queensland,3jQ1Zh4AAAAJ,640,"['Information Retrieval', 'Web Search', 'Algorithms', 'Information Systems']"
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,143,[]
Giuseppe Serra,"Associate Professor of Computer Science, University of Udine",xz1J-xQAAAAJ,5322,"['Machine Learning', 'Artificial Intelligence', 'Multimedia', 'NLP', 'Multimedia Forensics']"
Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,79,"['Crowdsourcing', 'Human computation', 'Information Retrieval', 'Data Mining']"
Giuseppe Primiero,"Department of Philosophy, University of Milan",srKA534AAAAJ,1118,"['Logic', 'Philosophy of Computer Science']"
