Nodi del grafo,Degree Centrality,Betweenness Centrality,Closeness Centrality,Page Rank,HITS Hubs,HITS Authorities
David La Barbera,0.11842105263157894,0.041588972431077696,0.49673202614379086,0.03405587405385561,0.04346904512160738,0.04346904512160736
Michael Soprano,0.23684210526315788,0.1961127819548872,0.5671641791044776,0.06959577890405749,0.060249591389056736,0.06024959138905677
Kevin Roitero,0.2631578947368421,0.21626399331662474,0.5757575757575758,0.0775016796307573,0.06512076712580049,0.06512076712580048
Stefano Mizzaro,0.2631578947368421,0.2816441102756892,0.5757575757575758,0.08365743073915236,0.058448272847325324,0.058448272847325344
Damiano Spina,0.2763157894736842,0.34132247284878847,0.5390070921985816,0.09493115461392151,0.048934129096498614,0.04893412909649859
Gianluca Demartini,0.2763157894736842,0.33126900584795294,0.5801526717557252,0.09145296783478075,0.05512297976150031,0.05512297976150031
Eddy Maddalena,0.2763157894736842,0.273436090225564,0.5205479452054794,0.08723342627726265,0.05451529784697358,0.05451529784697352
Vincenzo Della Mea,0.06578947368421052,0.0012865497076023386,0.4393063583815029,0.01883122275262184,0.03351799884473448,0.03351799884473447
Davide Ceolin,0.05263157894736842,0.0012865497076023386,0.41304347826086957,0.015275800067561,0.026566088041004143,0.02656608804100414
Tim Draws,0.02631578947368421,0.0,0.3671497584541063,0.008451234372164091,0.012336424578192838,0.012336424578192819
Joel Mackenzie,0.013157894736842105,0.0,0.3333333333333333,0.005164588133181427,0.005170262690192945,0.005170262690192941
Beatrice Portelli,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343206,0.014911707521343194
Giuseppe Serra,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999892,0.007166161887999879
Shaoyang Fan,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343206,0.014911707521343192
Giuseppe Primiero,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999892,0.007166161887999882
Jan Wielemaker,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999892,0.0071661618879998775
Alessandro Checco,0.05263157894736842,0.0,0.4393063583815029,0.01576092099449492,0.02795222162857253,0.027952221628572527
Afshin Rahimi,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999892,0.007166161887999874
Andrea Brunello,0.02631578947368421,0.0,0.38,0.008528591769052124,0.014911707521343206,0.014911707521343185
Tetsuya Sakai,0.013157894736842105,0.0,0.36363636363636365,0.005234698187034612,0.007166161887999892,0.007166161887999874
Mihai Horia Popescu,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343315,0.007745545633343311
Falk Scholer,0.05263157894736842,0.011578947368421052,0.4550898203592814,0.01616963043018272,0.027001860892045423,0.02700186089204544
J. Shane Culpepper,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343315,0.007745545633343317
Yunke Qu,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343315,0.007745545633343315
Mark Sanderson,0.039473684210526314,0.0,0.4222222222222222,0.012638958316803322,0.02051774306257743,0.02051774306257745
Rishabh Mehrotra,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343315,0.007745545633343321
Mounia Lalmas,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343315,0.007745545633343315
Ben Carterette,0.013157894736842105,0.0,0.3671497584541063,0.005241945530069459,0.007745545633343315,0.007745545633343315
Luca Vassena,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730334
Luca Di Gaspero,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730342
Carlo Tasso,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730331
Paolo Coppola,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730329
Omar Alonso,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.00695191080373033
Elena Nazzi,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730331
Giorgio Brajnik,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.006951910803730318
Fabio Crestani,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.0069519108037303335
Claudio Carpineto,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.0069519108037303335
Marco Pavan,0.013157894736842105,0.0,0.3671497584541063,0.005503474633112789,0.0069519108037303335,0.00695191080373033
Andrew Turpin,0.02631578947368421,0.0,0.3958333333333333,0.009034146746492187,0.013436028633198326,0.01343602863319833
Julio Gonzalo,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503792
Lawrence Cavedon,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503787
Johanne R. Trippas,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503789
Jorge Carrillo-de-Albornoz,0.013157894736842105,0.0,0.35185185185185186,0.005789642049724969,0.00582028662550378,0.005820286625503787
