Nodi del grafo,Degree Centrality Extended,Betweenness Centrality Extended,Closeness Centrality Extended,Page Rank Extended,HITS Hubs Extended,HITS Authorities Extended
David La Barbera,0.13157894736842105,0.034251542317331775,0.5170068027210885,0.02738904795924257,0.031874559157041335,0.03187455915704131
Michael Soprano,0.23684210526315788,0.06470684724632088,0.5671641791044776,0.0479059784238342,0.04431170930964168,0.04431170930964169
Kevin Roitero,0.2763157894736842,0.1052005815821606,0.5801526717557252,0.05693940637462076,0.04697012668233124,0.04697012668233127
Stefano Mizzaro,0.2763157894736842,0.13580459160722314,0.5801526717557252,0.05983044195348984,0.04394996819728387,0.04394996819728386
Damiano Spina,0.2763157894736842,0.1275488721804512,0.5390070921985816,0.06151958517698583,0.034024966994324626,0.03402496699432466
Gianluca Demartini,0.2763157894736842,0.18788137009189643,0.5801526717557252,0.06515065960408628,0.03487935623306366,0.034879356233063694
Eddy Maddalena,0.2894736842105263,0.19321290405500927,0.5714285714285714,0.06663932001863568,0.0396115450662143,0.039611545066214296
Vincenzo Della Mea,0.07894736842105263,0.0006015037593984961,0.49673202614379086,0.01626120699129442,0.0264671188680049,0.026467118868004905
Davide Ceolin,0.05263157894736842,0.0006015037593984961,0.41304347826086957,0.011417882476108102,0.015580924410291543,0.01558092441029157
Tim Draws,0.039473684210526314,0.0,0.44970414201183434,0.008959807873382993,0.013972007039114918,0.013972007039114916
Joel Mackenzie,0.013157894736842105,0.0,0.34234234234234234,0.004276026754376844,0.003051184994910696,0.003051184994910703
Beatrice Portelli,0.039473684210526314,0.0,0.4550898203592814,0.008936596131523861,0.015417026839887632,0.015417026839887618
Giuseppe Serra,0.6710526315789473,0.46674185463659124,0.7037037037037037,0.14527589139661187,0.06977392917905184,0.06977392917905194
Shaoyang Fan,0.039473684210526314,0.0,0.4550898203592814,0.008936596131523861,0.015417026839887632,0.015417026839887616
Giuseppe Primiero,0.02631578947368421,0.0,0.4444444444444444,0.006631833067058098,0.01092082204420422,0.010920822044204212
Jan Wielemaker,0.02631578947368421,0.0,0.4444444444444444,0.006631833067058098,0.01092082204420422,0.010920822044204212
Alessandro Checco,0.06578947368421052,0.00016194331983805665,0.5,0.01414863213632648,0.0225476515861603,0.022547651586160292
Afshin Rahimi,0.02631578947368421,0.0,0.4444444444444444,0.006631833067058098,0.01092082204420422,0.01092082204420421
Andrea Brunello,0.02631578947368421,0.0,0.38,0.006515081421685981,0.008737933187229057,0.008737933187229058
Tetsuya Sakai,0.02631578947368421,0.0,0.4444444444444444,0.006631833067058098,0.01092082204420422,0.010920822044204206
Mihai Horia Popescu,0.013157894736842105,0.0,0.36893203883495146,0.004252815012517711,0.00449620479568341,0.0044962047956834126
Falk Scholer,0.05263157894736842,0.0015137844611528824,0.4578313253012048,0.011739786412999822,0.015752144129601235,0.015752144129601235
J. Shane Culpepper,0.02631578947368421,0.0,0.4523809523809524,0.00667432972235559,0.011175298448341985,0.011175298448341966
Yunke Qu,0.02631578947368421,0.0,0.4523809523809524,0.00667432972235559,0.011175298448341985,0.011175298448341971
Mark Sanderson,0.039473684210526314,0.0,0.4245810055865922,0.009164960164902595,0.011960337901449444,0.011960337901449444
Rishabh Mehrotra,0.02631578947368421,0.0,0.4523809523809524,0.00667432972235559,0.011175298448341985,0.01117529844834198
Mounia Lalmas,0.02631578947368421,0.0,0.4523809523809524,0.00667432972235559,0.011175298448341985,0.011175298448341977
Ben Carterette,0.02631578947368421,0.0,0.4523809523809524,0.00667432972235559,0.011175298448341985,0.011175298448341968
Luca Vassena,0.02631578947368421,0.0,0.4523809523809524,0.006791376463238266,0.010886194457713359,0.010886194457713353
Luca Di Gaspero,0.013157894736842105,0.0,0.36893203883495146,0.004369861753400387,0.004207100805054784,0.004207100805054788
Carlo Tasso,0.02631578947368421,0.0,0.4523809523809524,0.006791376463238266,0.010886194457713359,0.01088619445771335
Paolo Coppola,0.02631578947368421,0.0,0.4523809523809524,0.006791376463238266,0.010886194457713359,0.01088619445771335
Omar Alonso,0.02631578947368421,0.0,0.4523809523809524,0.006791376463238266,0.010886194457713359,0.010886194457713352
Elena Nazzi,0.02631578947368421,0.0,0.4523809523809524,0.006791376463238266,0.010886194457713359,0.010886194457713352
