Nodi,Degree Centrality,Betweenness Centrality,Closeness Centrality,Page Rank,HITS Hubs,HITS Authorities
David La Barbera,0.11842105263157894,0.04147201336675021,0.4935064935064935,0.033962006338940406,0.04360205003006609,0.04360205003006612
Michael Soprano,0.23684210526315788,0.18371512113617397,0.5671641791044776,0.0686492324430977,0.06110119851507196,0.06110119851507193
Kevin Roitero,0.2631578947368421,0.21740434419381777,0.5757575757575758,0.07740756537073078,0.06516140732553166,0.06516140732553163
Stefano Mizzaro,0.2631578947368421,0.28062071846282377,0.5757575757575758,0.08344707208483444,0.0585535982880868,0.05855359828808679
Damiano Spina,0.2763157894736842,0.3411177944862154,0.5352112676056338,0.09481163961632645,0.049063214512943404,0.04906321451294351
Gianluca Demartini,0.2763157894736842,0.3324385964912279,0.5801526717557252,0.09150428446649012,0.055108601749207536,0.0551086017492076
Eddy Maddalena,0.2763157894736842,0.2891963241436926,0.5205479452054794,0.08854449117545427,0.05360287849349225,0.0536028784934922
Vincenzo Della Mea,0.06578947368421052,0.001403508771929824,0.4393063583815029,0.018817767035346357,0.03353139375978985,0.03353139375978987
Davide Ceolin,0.05263157894736842,0.001403508771929824,0.41304347826086957,0.015271181489722941,0.0265695617091705,0.02656956170917052
Tim Draws,0.02631578947368421,0.0,0.3671497584541063,0.008397636238710173,0.012448875096269045,0.012448875096269053
Joel Mackenzie,0.013157894736842105,0.0,0.3318777292576419,0.005155705567199331,0.0051841416795350434,0.005184141679535046
Beatrice Portelli,0.02631578947368421,0.0,0.38,0.008479873155762268,0.015012212431608577,0.015012212431608598
Giuseppe Serra,0.02631578947368421,0.0,0.3877551020408163,0.008736568165186207,0.014226565467353347,0.01422656546735336
Shaoyang Fan,0.02631578947368421,0.0,0.38,0.008479873155762268,0.015012212431608577,0.015012212431608593
Giuseppe Primiero,0.013157894736842105,0.0,0.36363636363636365,0.005189982619562792,0.007264733416734001,0.007264733416734009
Jan Wielemaker,0.013157894736842105,0.0,0.36363636363636365,0.005189982619562792,0.007264733416734001,0.00726473341673401
Alessandro Checco,0.05263157894736842,0.0,0.4393063583815029,0.01576722737773302,0.027937653216652227,0.027937653216652245
Afshin Rahimi,0.013157894736842105,0.0,0.36363636363636365,0.005189982619562792,0.007264733416734001,0.007264733416734012
Andrea Brunello,0.02631578947368421,0.0,0.38,0.008479873155762268,0.015012212431608577,0.015012212431608593
Tetsuya Sakai,0.013157894736842105,0.0,0.36363636363636365,0.005189982619562792,0.007264733416734001,0.007264733416734012
Mihai Horia Popescu,0.013157894736842105,0.0,0.3671497584541063,0.005237942484251425,0.007747479014874576,0.007747479014874585
Falk Scholer,0.05263157894736842,0.01263157894736842,0.4578313253012048,0.016204932851004474,0.026915975005897586,0.02691597500589759
J. Shane Culpepper,0.013157894736842105,0.0,0.3671497584541063,0.005237942484251425,0.007747479014874576,0.0077474790148745875
Yunke Qu,0.013157894736842105,0.0,0.3671497584541063,0.005237942484251425,0.007747479014874576,0.007747479014874585
Rishabh Mehrotra,0.013157894736842105,0.0,0.3671497584541063,0.005237942484251425,0.007747479014874576,0.007747479014874581
Mounia Lalmas,0.013157894736842105,0.0,0.3671497584541063,0.005237942484251425,0.007747479014874576,0.007747479014874585
Ben Carterette,0.013157894736842105,0.0,0.3671497584541063,0.005237942484251425,0.007747479014874576,0.007747479014874581
Mark Sanderson,0.039473684210526314,0.0,0.4222222222222222,0.012621278136191185,0.020542767407870706,0.020542767407870716
Luca Vassena,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619347
Luca Di Gaspero,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619343
Carlo Tasso,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619348
Paolo Coppola,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619347
Omar Alonso,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619349
Elena Nazzi,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619348
Giorgio Brajnik,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619347
Fabio Crestani,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619353
Claudio Carpineto,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619347
Marco Pavan,0.013157894736842105,0.0,0.3671497584541063,0.005494637493675363,0.006961832050619345,0.006961832050619347
Julio Gonzalo,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376783
Lawrence Cavedon,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.0058334563423767805
Johanne R. Trippas,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376783
Jorge Carrillo-de-Albornoz,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376783
Maarten de Rijke,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376783
Arkaitz Zubiaga,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.0058334563423767805
Hideo Joho,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.0058334563423767805
Edgar Meij,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376778
Flora Salim,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376781
W. Bruce Croft,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376784
Víctor Fresno,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376781
Raquel Martinez,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.0058334563423767805
Yongli Ren,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376781
Ryen W. White,0.013157894736842105,0.0,0.35023041474654376,0.005784802054368294,0.005833456342376784,0.005833456342376781
